season,episode_num_in_season,title
12,3,Quagmire's Quagmire
12,4,A Fistful of Meg
12,5,Boopa-dee Bappa-dee
12,6,Life of Brian
12,7,Into Harmony's Way
12,8,Christmas Guy
12,9,Peter Problems
12,10,Grimm Job
12,11,Brian's a Bad Father
12,12,Mom's the Word
12,13,3 Acts of God
12,14,Fresh Heir
12,15,Secondhand Spoke
12,16,Herpe the Love Sore
12,17,The Most Interesting Man in the World
12,18,Baby Got Black
12,19,Meg Stinks!
12,20,He's Bla-ack!
12,21,Chap Stewie
13,1,The Simpsons Guy
13,2,The Book of Joe
13,3,Baking Bad
13,4,Brian the Closer
13,5,Turkey Guys
13,6,The 2000-Year-Old Virgin
13,7,"Stewie, Chris, & Brian's Excellent Adventure"
13,8,Our Idiot Brian
13,9,This Little Piggy
13,10,Quagmire's Mom
13,11,Encyclopedia Griffin
13,12,Stewie Is Enceinte
13,13,Dr. C and the Women
13,14,#JOLO
13,15,Once Bitten
13,16,Roasted Guy
13,17,Fighting Irish
13,18,Take My Wife
14,1,Pilling Them Softly
14,2,Papa Has a Rollin' Son
14,3,"Guy, Robot"
14,4,Peternormal Activity
14,5,"Peter, Chris, & Brian"
14,6,Peter's Sister
14,7,Hot Pocket-Dial
14,8,Brokeback Swanson
14,9,A Shot in the Dark
14,10,"Candy, Quahog Marshmallow"
14,11,The Peanut Butter Kid
14,12,Scammed Yankees
14,13,An App a Day
14,14,Underage Peter
14,15,A Lot Going on Upstairs
14,16,The Heartbreak Dog
14,17,Take a Letter
14,18,The New Adventures of Old Tom
14,19,"Run, Chris, Run"
14,20,Road to India
15,1,The Boys in the Band
15,2,Bookie of the Year
15,3,American Gigg-olo
15,4,Inside Family Guy
15,5,"Chris Has Got a Date, Date, Date, Date, Date"
15,6,Hot Shots
15,7,High School English
15,8,Carter and Tricia
15,9,How the Griffin Stole Christmas
15,10,Passenger Fatty-Seven
15,11,Gronkowsbees
15,12,Peter's Def Jam
15,13,The Finer Strings
15,14,The Dating Game
15,15,Cop and a Half-wit
15,16,Saturated Fat Guy
15,17,Peter's Lost Youth
15,18,The Peter Principal
15,19,Dearly Deported
15,20,A House Full of Peters
16,1,Emmy-Winning Episode
16,2,Foxx in the Men House
16,3,Nanny Goats
16,4,Follow the Money
16,5,Three Directors
16,6,The D in Apartment 23
16,7,Petey IV
16,8,Crimes and Meg's Demeanor
16,9,Don't Be a Dickens at Christmas
16,10,Boy (Dog) Meets Girl (Dog)
16,11,Dog Bites Bear
16,12,"Send in Stewie, Please"
16,13,V Is for Mystery
16,14,Veteran Guy
16,15,The Woof of Wall Street
16,16,Family Guy Through the Years
16,17,Switch the Flip
16,18,HTTPete
16,19,The Unkindest Cut
16,20,"Are You There God? It's Me, Peter"
17,1,Married... with Cancer (Part 1)
17,2,Dead Dog Walking (Part 2)
17,3,Pal Stewie
17,4,Big Trouble in Little Quahog
17,5,Regarding Carter
17,6,Stand by Meg
17,7,The Griffin Winter Games
17,8,Con Heiress
17,9,Pawtucket Pete
17,10,Hefty Shades of Gray (Part 1)
17,11,Trump Guy (Part 2)
17,12,"Bri, Robot"
17,13,Trans-Fat
17,14,Family Guy Lite
17,15,"No Giggity, No Doubt"
17,16,You Can't Handle the Booth!
17,17,Island Adventure
17,18,Throw It Away
17,19,"Girl, Internetted"
17,20,Adam West High
18,1,Yacht Rocky
18,2,Bri-Da
18,3,Absolutely Babulous
18,4,Disney's The Reboot
18,5,Cat Fight
18,6,Peter & Lois' Wedding
18,7,Heart Burn
18,8,Shanksgiving
18,9,Christmas Is Coming
18,10,Connie's Celica
18,11,Short Cuts
18,12,Undergrounded
18,13,Rich Old Stewie
18,14,The Movement
18,15,Baby Stewie
18,16,Start Me Up
18,17,Coma Guy
18,18,Better Off Meg
18,19,Holly Bibble
18,20,Movin' In (Principal Shepherd's Song)
19,1,Stewie's First Word
19,2,The Talented Mr. Stewie
19,3,Boys & Squirrels
19,4,Cutawayland
19,5,La Famiglia Guy
19,6,Meg's Wedding
19,7,Wild Wild West
19,8,Pawtucket Pat
19,9,The First No L
19,10,Fecal Matters
19,11,Boy's Best Friend
19,12,And Then There's Fraud
19,13,Peterminator
19,14,The Marrying Kind
19,15,Customer of the Week
19,16,Who's Brian Now?
19,17,Young Parent Trap
19,18,Meg Goes to College
19,19,Family Cat
19,20,Tales of Former Sports Glory
20,1,LASIK Instinct
20,2,Rock Hard
20,3,Must Love Dogs
20,4,80's Guy
20,5,Brief Encounter
20,6,Cootie & The Blowhard
20,7,Peterschmidt Manor
20,8,The Birthday Bootlegger
20,9,The Fatman Always Rings Twice
20,10,Christmas Crime
20,11,Mister Act
20,12,The Lois Quagmire
20,13,Lawyer Guy
20,14,HBO-No
20,15,Hard Boiled Meg
20,16,Prescription Heroine
20,17,All About Alana
20,18,"Girlfriend, Eh?"
20,19,First Blood
20,20,Jersey Bore
21,1,Oscars Guy
21,2,Bend or Blockbuster
21,3,A Wife-Changing Experience
21,4,The Munchurian Candidate
21,5,Unzipped Code
21,6,Happy Holo-ween
21,7,The Stewaway
21,8,Get Stewie
21,9,Carny Knowledge
21,10,The Candidate
21,11,Love Story Guy
